type,tool_wear,target,power,diference_temperature
M,151,0,45648.0,-9.800000000000011
L,55,0,59969.5,-9.699999999999989
M,231,0,59519.7,-9.800000000000011
M,184,0,64083.0,-8.600000000000023
L,166,0,45882.8,-9.899999999999977
L,217,0,62054.399999999994,-11.199999999999989
L,162,0,59226.700000000004,-10.900000000000034
L,174,0,76061.3,-9.399999999999977
L,99,0,62361.0,-9.699999999999989
M,35,0,64994.4,-9.300000000000011
L,30,0,64351.799999999996,-11.5
L,111,0,55036.8,-10.699999999999989
L,122,0,64449.00000000001,-10.5
L,69,0,60272.8,-8.5
M,7,0,76857.0,-11.0
M,79,1,67387.2,-8.399999999999977
H,74,0,55507.200000000004,-11.199999999999989
L,194,0,52164.0,-10.800000000000011
M,148,0,60995.99999999999,-9.699999999999989
L,175,0,54635.99999999999,-10.300000000000011
L,150,0,53332.4,-9.199999999999989
L,166,0,44553.6,-9.0
L,168,0,71422.5,-10.800000000000011
L,119,0,49921.2,-11.800000000000011
M,127,0,75813.8,-9.299999999999955
L,83,0,57904.0,-8.900000000000034
L,186,1,80947.0,-9.5
L,129,0,56209.200000000004,-9.899999999999977
L,146,1,76713.0,-8.300000000000011
L,36,0,55276.100000000006,-9.599999999999966
L,39,0,60480.200000000004,-11.0
H,75,0,50928.8,-9.899999999999977
L,5,0,75540.5,-11.099999999999966
M,48,0,78459.59999999999,-9.099999999999966
M,108,0,44408.4,-9.900000000000034
L,217,0,60679.2,-9.800000000000011
M,156,0,63640.5,-11.0
L,12,0,39278.4,-11.5
L,74,0,46698.399999999994,-11.399999999999977
H,32,0,70176.0,-11.0
M,199,0,51660.0,-9.399999999999977
L,229,1,70028.0,-11.0
L,11,0,65092.200000000004,-11.0
M,193,0,63669.6,-11.200000000000045
M,14,0,66047.9,-9.5
L,150,0,68182.0,-11.099999999999966
L,39,0,74867.09999999999,-8.0
L,59,0,59509.2,-9.400000000000034
L,195,1,78319.0,-9.199999999999989
L,156,0,83119.2,-9.0
L,99,0,65072.99999999999,-8.5
L,114,0,55267.200000000004,-11.100000000000023
L,131,0,72630.0,-9.700000000000045
L,119,0,74046.0,-9.0
H,148,0,52097.5,-9.400000000000034
L,123,0,61120.0,-11.0
L,104,0,76863.59999999999,-11.099999999999966
L,129,0,45364.5,-9.600000000000023
M,220,0,64130.0,-9.799999999999955
L,238,1,66112.8,-11.100000000000023
L,51,0,73100.0,-9.400000000000034
L,172,0,54355.4,-9.399999999999977
L,178,0,55502.4,-9.400000000000034
M,101,0,61406.1,-9.400000000000034
M,117,0,62370.0,-9.599999999999966
L,125,0,62040.0,-11.399999999999977
M,191,0,54402.700000000004,-10.600000000000023
L,103,0,46208.0,-11.100000000000023
L,68,0,45180.6,-10.399999999999977
M,101,0,70470.4,-11.099999999999966
L,7,0,64267.5,-9.300000000000011
M,121,0,73956.5,-11.0
M,202,0,56746.2,-11.199999999999989
L,157,0,64523.8,-10.899999999999977
L,173,0,43813.8,-11.5
L,117,0,67020.09999999999,-9.600000000000023
L,71,0,65209.6,-9.899999999999977
L,188,0,57856.50000000001,-10.199999999999989
L,85,0,68569.6,-9.399999999999977
M,93,0,58880.0,-10.300000000000011
M,215,0,68527.0,-9.399999999999977
L,117,0,55522.200000000004,-11.0
H,198,0,61710.0,-8.799999999999955
L,14,0,66059.2,-10.5
M,95,0,71607.2,-9.800000000000011
H,210,0,50928.8,-8.5
L,90,0,64967.4,-9.100000000000023
L,76,0,59630.0,-8.899999999999977
M,5,0,70290.0,-9.600000000000023
M,59,0,67442.40000000001,-9.099999999999966
M,124,0,43217.0,-9.5
L,100,0,52400.1,-9.600000000000023
L,146,0,76707.6,-11.899999999999977
M,52,0,61752.6,-9.100000000000023
H,35,0,48400.600000000006,-8.899999999999977
M,204,0,60299.5,-10.199999999999989
M,175,0,74226.0,-11.0
L,112,0,66611.2,-9.0
L,104,0,58096.100000000006,-11.100000000000023
M,56,0,54490.799999999996,-11.100000000000023
L,67,0,45129.0,-8.5
L,46,0,65685.0,-9.300000000000011
L,79,0,42896.0,-10.600000000000023
H,39,0,46178.299999999996,-9.800000000000011
