type,air_temperature,process_temperature,rotational_speed,torque,tool_wear
L,301.4,310.6,1555,43.3,212
L,299.1,308.5,1689,32.1,192
L,301.7,309.5,1298,65.5,229
M,298.8,308.8,1497,46.8,72
L,298.0,308.4,1432,46.2,11
L,298.8,309.1,1350,52.5,111
L,298.8,308.5,1450,50.8,57
L,302.5,311.6,1419,43.7,39
L,300.6,310.4,2007,19.8,116
L,300.5,311.4,1445,41.5,66
M,302.1,311.3,1511,45.0,204
M,298.6,310.0,1541,36.9,12
L,302.3,310.9,1529,33.4,62
L,302.6,312.0,1674,32.2,70
L,300.1,309.6,1760,25.4,55
M,301.8,311.1,1399,41.8,125
L,297.7,309.3,1559,36.9,145
M,298.8,309.2,1452,48.6,98
M,300.2,311.6,1467,40.7,23
M,299.2,310.4,1502,39.8,34
L,301.2,310.5,1546,40.0,55
L,300.2,311.6,1375,56.9,155
L,300.0,309.4,1499,35.7,46
H,300.3,309.9,1394,46.7,210
M,298.5,308.3,1381,50.5,22
L,296.9,307.7,1653,35.9,177
L,301.9,311.0,1376,44.9,186
L,300.9,310.4,1445,41.7,180
L,299.1,308.3,1431,52.3,38
H,299.9,311.3,1413,41.8,153
M,297.5,308.5,1401,50.5,6
L,302.1,311.5,1987,20.1,21
M,303.4,311.8,1341,47.0,210
L,297.3,308.2,1490,41.0,16
H,303.8,312.9,1570,35.8,147
L,303.9,313.1,1665,29.6,0
M,302.2,310.6,1570,34.6,163
L,301.0,311.6,1352,63.5,143
M,297.2,308.3,1578,37.8,3
L,297.3,308.7,1352,53.8,91
L,302.6,312.3,1534,34.3,31
L,301.4,310.8,1389,52.7,125
L,298.1,307.9,1425,58.2,57
M,300.9,312.0,1447,41.4,193
M,304.2,313.2,1380,48.7,17
L,298.2,308.8,1442,47.0,18
L,302.0,310.9,1539,34.2,13
M,298.0,308.2,1466,42.6,2
L,300.7,310.0,1395,48.0,85
L,297.2,308.5,1447,47.9,188
M,299.3,308.8,1442,49.0,165
L,302.1,310.8,1772,27.1,233
L,301.3,310.5,1406,47.1,83
